NIA, JSON project, HTTP Servlet project
553939, https://github.com/daniegarcia254/WebEng2014/tree/developer/553939_JSON_Project, https://github.com/daniegarcia254/WebEng2014/tree/developer/553939_HTTP_Servlet_Project
647809, https://github.com/valarion/WebEng2014/tree/master/labs/Lab0/Lab0-console, https://github.com/valarion/WebEng2014/tree/master/labs/Lab0/Lab0-webapp
648701, https://github.com/RecuencoJones/PistachoToDo/tree/master/pistachotodocmd, https://github.com/RecuencoJones/PistachoToDo/tree/master/pistachotodoweb
648499, https://github.com/ivanpinos/IW/tree/master/ToDO, https://github.com/ivanpinos/IW/tree/master/ToDOweb
651846, https://github.com/javiertello/Lab0/tree/master/ToDoCMD, https://github.com/javiertello/Lab0/tree/master/ToDoWebApp
642535, https://github.com/SAReyes/WebEng/tree/master/Lab0/to-do-console, https://github.com/SAReyes/WebEng/tree/master/Lab0/to-do-webapp
566764, https://github.com/adriangp/WebEng/tree/master/Lab0/CommandApp, https://github.com/adriangp/WebEng/tree/master/Lab0/WebApp
591226, https://github.com/charliemc/WebEng-Labs/tree/master/lab0/command-line, https://github.com/charliemc/WebEng-Labs/tree/master/lab0/webapp
647058, https://github.com/jgbarcos/WebEng2014/tree/master/todo/console, https://github.com/jgbarcos/WebEng2014/tree/master/todo/servlet
