NIA, ToDo Server project, ToDo Client project
591226, https://github.com/charliemc/WebEng-Labs/tree/master/lab2/todo-rest, https://github.com/charliemc/WebEng-Labs/tree/master/lab2/todo-web-client
553939, https://github.com/daniegarcia254/WebEng2014/tree/developer/553939_Lab2_REST/todo-rest-server, https://github.com/daniegarcia254/WebEng2014/tree/developer/553939_Lab2_REST/todo-web-cli
651846, https://github.com/javiertello/Lab2/tree/master/ToDo_REST, https://github.com/javiertello/Lab2/tree/master/ToDo_REST_WebApp-ws
648701, https://github.com/RecuencoJones/PistachoToDo/tree/master/pistachotodorest/server, https://github.com/RecuencoJones/PistachoToDo/tree/master/pistachotodorest/client
608108, https://github.com/gginestra/WebEngPracticas/tree/master/TodoREST, https://github.com/gginestra/WebEngPracticas/tree/master/TodoREST-cliente
648499, https://github.com/ivanpinos/IW/tree/master/ToDoServerREST, https://github.com/ivanpinos/IW/tree/master/ToDoClientREST
