NIA, ToDo Server project, ToDo Client project
651846, https://github.com/javiertello/Lab1/tree/master/ToDo_SOAP, https://github.com/javiertello/Lab1/tree/master/ToDo_SOAP_WebApp-ws
648499, https://github.com/ivanpinos/IW/tree/master/soap-server-ws, https://github.com/ivanpinos/IW/tree/master/client-ws
648701, https://github.com/RecuencoJones/PistachoToDo/tree/master/pistachotodosoap/server-ws, https://github.com/RecuencoJones/PistachoToDo/tree/master/pistachotodosoap/client-ws
652349, https://github.com/gBarrerasSanz/IW_Repo/tree/master/IW_Repo/Lab1/SOAPServer, https://github.com/gBarrerasSanz/IW_Repo/tree/master/IW_Repo/Lab1/SOAPClientApp-ws
553939, https://github.com/daniegarcia254/WebEng2014/tree/developer/553939_Lab1_SOAP/SOAPServer, https://github.com/daniegarcia254/WebEng2014/tree/developer/553939_Lab1_SOAP/todows-cli-ws
